,Date,Kangwon_sales,Kangwon_sales_prices,Kyonggi_sales,Kyonggi_sales_prices,Kyongsang_sales,Kyongsang_sales_prices,Seoul_sales,Seoul_sales_prices,Jeonla_sales,Jeonla_sales_prices,Chungcheong_sales,Chuncheong_sales_prices
50,2/20/2015,2,"427,500",67,"7,848,900",9,"950,700",11,"1,608,000",12,"1,302,800",10,"833,100"
51,2/21/2015,4,"745,500",41,"6,458,300",29,"3,612,300",14,"1,120,800",11,"1,205,500",30,"2,371,700"
52,2/22/2015,2,"366,600",31,"2,425,600",22,"2,200,800",20,"1,780,000",22,"2,936,400",19,"2,343,800"
53,2/23/2015,12,"954,000",48,"6,707,000",27,"2,664,400",20,"2,301,500",7,"579,100",53,"5,400,500"
54,2/24/2015,29,"4,053,900",57,"7,492,850",27,"3,181,900",14,"2,253,300",21,"1,722,200",38,"3,344,800"
55,2/25/2015,72,"11,646,200",53,"8,364,400",76,"8,734,700",96,"3,724,700",11,"1,207,000",36,"3,901,700"
56,2/26/2015,7,"1,469,100",84,"9,960,050",93,"7,825,900",64,"5,920,000",9,"891,800",44,"4,689,200"
57,2/27/2015,42,"6,758,000",79,"10,587,740",74,"4,863,300",38,"2,274,800",14,"1,076,800",19,"1,846,900"
58,2/28/2015,35,"3,722,900",101,"12,330,200",71,"7,138,700",45,"4,577,000",28,"2,898,200",43,"3,444,800"
59,3/1/2015,24,"3,353,200",68,"9,990,000",42,"5,398,200",11,"2,005,800",26,"2,867,800",41,"3,964,400"
60,3/2/2015,38,"4,456,300",51,"4,687,000",26,"3,392,600",5,"672,800",8,"897,900",22,"2,730,400"
61,3/3/2015,25,"2,547,900",83,"9,539,500",31,"5,778,000",18,"1,515,300",37,"3,022,200",24,"2,036,400"
62,3/4/2015,19,"2,011,600",62,"7,706,800",51,"6,224,800",8,"1,030,700",12,"906,300",19,"2,014,300"
63,3/5/2015,33,"4,671,800",64,"8,458,600",45,"4,835,100",39,"4,383,100",25,"2,549,700",26,"2,217,100"
64,3/6/2015,26,"2,108,200",64,"8,350,800",57,"7,383,040",18,"1,561,400",18,"1,373,300",36,"3,969,600"
65,3/7/2015,46,"4,438,900",106,"12,627,300",70,"6,727,880",29,"3,016,200",18,"1,860,400",48,"5,041,600"
66,3/8/2015,12,"1,984,700",58,"6,730,600",27,"3,053,300",16,"2,025,300",34,"3,747,300",39,"5,290,600"
67,3/9/2015,25,"2,833,200",64,"9,195,500",50,"4,896,740",21,"1,938,500",7,"814,500",30,"2,579,000"
68,3/10/2015,37,"4,526,900",44,"5,475,000",23,"2,492,200",10,"1,200,300",10,"1,137,400",21,"1,720,400"
69,3/11/2015,21,"3,083,600",133,"10,738,900",74,"8,700,700",30,"2,589,900",18,"1,447,300",41,"4,303,300"
70,3/12/2015,28,"4,141,800",104,"13,057,700",38,"3,603,700",22,"2,428,800",23,"2,178,800",26,"2,482,300"
71,3/13/2015,38,"3,996,200",88,"9,368,200",39,"4,134,400",27,"3,247,100",13,"1,311,200",69,"5,104,200"
72,3/14/2015,25,"3,926,500",95,"12,684,400",37,"3,562,700",126,"6,821,500",29,"1,973,900",27,"3,861,800"
73,3/15/2015,12,"1,477,200",66,"7,697,600",57,"5,152,600",25,"1,995,300",40,"3,022,400",33,"2,807,900"
74,3/16/2015,16,"3,096,000",90,"9,385,600",49,"4,214,900",86,"3,676,300",19,"1,175,200",23,"2,568,400"
75,3/17/2015,30,"4,099,900",73,"7,694,700",59,"5,928,800",59,"3,640,300",45,"3,762,100",42,"3,467,300"
76,3/18/2015,12,"1,170,200",88,"8,816,100",36,"3,184,500",36,"3,939,800",32,"2,550,800",37,"3,520,250"
77,3/19/2015,45,"5,971,500",191,"18,077,300",59,"5,757,200",33,"2,851,600",30,"2,544,400",54,"4,429,500"
78,3/20/2015,36,"3,479,800",108,"9,978,400",50,"5,197,500",37,"3,003,800",29,"2,349,600",31,"2,883,300"
79,3/21/2015,47,"4,404,700",104,"9,547,800",67,"5,695,900",33,"2,658,400",36,"2,587,800",57,"6,184,550"
80,3/22/2015,9,"713,700",70,"7,406,000",80,"6,868,600",19,"1,920,400",15,"1,352,300",42,"2,885,200"
81,3/23/2015,32,"3,386,800",63,"6,692,800",26,"2,040,600",15,"1,429,200",16,"1,363,000",18,"2,002,200"
82,3/24/2015,47,"5,282,200",232,"15,231,400",53,"5,203,900",12,"1,041,400",26,"2,490,500",19,"1,600,300"
83,3/25/2015,23,"2,574,700",91,"8,417,900",50,"4,969,300",85,"3,559,400",21,"2,076,900",33,"2,486,800"
84,3/26/2015,45,"4,846,900",104,"10,766,000",48,"4,733,700",87,"3,477,200",18,"1,559,900",28,"2,934,500"
85,3/27/2015,29,"2,250,600",115,"8,837,000",29,"2,369,500",119,"6,118,900",23,"2,170,400",28,"2,911,200"
86,3/28/2015,38,"3,613,000",112,"9,654,800",38,"3,824,100",44,"3,046,500",22,"1,735,500",44,"3,521,500"
87,3/29/2015,0,0,150,"14,762,200",81,"6,631,900",23,"2,152,800",29,"2,319,100",41,"3,785,300"
88,3/30/2015,24,"2,831,100",142,"10,709,000",62,"5,894,100",12,"1,106,000",18,"1,464,100",44,"2,817,700"
89,3/31/2015,17,"2,221,200",122,"10,014,300",57,"5,037,700",24,"2,324,300",46,"3,639,500",43,"3,633,600"
90,4/1/2015,30,"3,422,200",156,"12,598,800",72,"5,259,300",27,"1,868,600",26,"1,973,800",35,"4,346,200"
91,4/2/2015,38,"4,495,200",111,"13,562,200",28,"2,344,900",14,"849,500",24,"1,481,400",14,"945,700"
92,4/3/2015,30,"2,736,700",98,"8,888,500",25,"2,564,400",24,"1,600,300",24,"1,306,000",32,"2,912,100"
93,4/4/2015,31,"3,190,500",100,"10,151,100",36,"3,128,800",44,"3,302,500",4,"251,000",32,"2,339,500"
94,4/5/2015,3,"428,100",91,"9,669,100",22,"1,872,000",16,"1,475,400",31,"2,281,400",24,"1,438,400"
95,4/6/2015,30,"2,182,800",73,"6,046,100",45,"3,601,400",19,"1,248,300",18,"1,332,600",20,"1,526,500"
96,4/7/2015,21,"1,977,900",59,"5,589,400",73,"6,679,000",21,"1,831,300",31,"2,717,000",35,"3,199,700"
97,4/8/2015,36,"3,372,100",161,"10,216,600",61,"4,661,900",109,"3,015,500",12,"1,117,800",31,"2,213,700"
98,4/9/2015,34,"2,939,000",134,"8,896,300",58,"5,301,000",47,"2,379,000",21,"1,262,300",31,"2,634,300"
99,4/10/2015,36,"3,364,600",166,"14,501,800",56,"5,407,600",72,"5,751,500",37,"3,131,800",34,"3,073,200"
100,4/11/2015,27,"3,500,800",121,"9,481,100",32,"2,888,900",46,"3,154,700",32,"2,899,600",37,"2,752,100"
101,4/12/2015,12,"1,037,800",77,"7,836,500",98,"7,912,800",16,"1,771,700",24,"2,574,000",20,"2,012,900"
102,4/13/2015,26,"2,798,200",55,"4,742,500",34,"2,120,600",23,"1,932,300",15,"1,445,400",22,"1,840,000"
103,4/14/2015,36,"3,648,900",73,"5,903,700",72,"6,231,600",226,"6,737,700",28,"2,222,800",20,"1,181,000"
104,4/15/2015,32,"2,557,800",100,"9,653,600",67,"6,769,000",58,"3,460,900",18,"1,577,400",10,"560,400"
105,4/16/2015,28,"2,894,100",63,"6,175,500",46,"4,008,900",45,"2,281,400",20,"1,590,000",19,"1,562,900"
106,4/17/2015,57,"5,095,600",98,"9,503,900",49,"3,818,800",35,"2,388,400",12,"1,217,500",19,"1,780,300"
107,4/18/2015,56,"4,997,000",151,"15,027,900",54,"4,048,800",29,"3,177,300",7,"742,400",36,"2,811,900"
108,4/19/2015,13,"1,102,800",140,"14,038,200",40,"3,479,800",15,"1,096,800",22,"2,517,100",18,"1,441,200"
109,4/20/2015,35,"3,401,900",80,"8,599,000",36,"3,070,000",26,"2,225,700",15,"1,125,000",7,"654,000"
110,4/21/2015,35,"2,837,200",143,"11,462,400",72,"7,384,100",40,"3,779,100",35,"2,795,300",50,"4,123,600"
111,4/22/2015,54,"4,568,000",103,"9,451,400",73,"5,284,400",85,"3,944,900",21,"1,756,900",36,"2,979,100"
112,4/23/2015,34,"3,316,000",125,"9,677,800",67,"5,770,800",62,"3,867,400",14,"1,588,800",120,"10,813,100"
113,4/24/2015,53,"5,068,800",128,"10,316,000",59,"5,170,300",65,"4,891,200",25,"2,134,700",77,"5,895,100"
114,4/25/2015,29,"2,209,200",127,"9,247,800",53,"4,450,900",56,"4,423,000",22,"1,898,600",72,"5,155,500"
115,4/26/2015,8,"663,300",68,"6,097,600",39,"2,318,200",25,"2,153,100",23,"1,509,100",65,"5,525,100"
116,4/27/2015,38,"3,072,400",96,"7,414,800",32,"3,340,000",26,"2,675,300",6,"545,000",53,"4,237,700"
117,4/28/2015,34,"2,671,900",113,"8,284,500",40,"3,179,200",31,"2,154,000",29,"2,961,100",187,"7,088,200"
118,4/29/2015,30,"2,871,200",126,"11,466,400",65,"5,370,900",34,"3,563,700",41,"2,886,300",110,"4,730,500"
119,4/30/2015,35,"2,564,700",125,"11,337,200",45,"3,108,500",26,"2,135,300",42,"3,750,900",89,"4,699,600"
120,5/1/2015,38,"3,520,900",74,"5,986,600",46,"4,032,200",33,"2,631,800",35,"2,586,700",110,"5,751,300"
121,5/2/2015,25,"1,917,700",92,"8,032,500",50,"3,873,500",89,"3,913,500",34,"2,216,500",55,"2,365,900"
122,5/3/2015,7,"651,800",43,"4,986,300",53,"4,193,600",71,"2,625,400",21,"1,521,300",72,"2,928,300"
123,5/4/2015,25,"2,083,000",136,"10,644,100",58,"4,320,200",52,"2,299,400",21,"1,184,300",55,"3,345,400"
124,5/5/2015,24,"2,066,800",96,"8,961,700",76,"5,788,200",23,"1,746,100",55,"4,084,100",49,"3,677,100"
125,5/6/2015,26,"2,846,600",57,"5,422,100",37,"3,252,000",59,"2,822,700",36,"2,721,300",48,"4,046,100"
126,5/7/2015,24,"2,197,000",117,"8,635,200",36,"2,458,400",81,"3,140,400",33,"2,374,800",40,"2,853,300"
127,5/8/2015,19,"1,462,600",116,"7,346,000",32,"2,567,600",25,"1,733,000",45,"4,182,000",22,"1,981,000"
128,5/9/2015,36,"3,771,800",123,"10,193,900",66,"5,496,500",32,"2,818,200",51,"4,427,500",75,"5,206,500"
129,5/10/2015,15,"1,266,100",42,"3,104,800",30,"2,386,600",30,"2,132,400",50,"4,096,600",26,"1,807,700"
130,5/11/2015,30,"2,463,800",111,"8,939,700",34,"2,158,800",9,"725,500",31,"2,241,300",24,"1,924,400"
131,5/12/2015,16,"1,506,900",82,"6,732,800",30,"2,259,200",17,"1,007,500",19,"1,652,700",45,"3,803,500"
132,5/13/2015,40,"3,737,800",250,"15,981,500",95,"8,064,600",30,"2,974,900",5,"306,400",32,"2,384,900"
133,5/14/2015,49,"4,249,300",180,"11,674,400",33,"2,679,600",19,"1,558,700",38,"2,343,800",54,"4,139,800"
134,5/15/2015,37,"3,342,000",166,"11,166,400",37,"2,663,400",32,"2,278,000",55,"4,528,400",34,"2,172,000"
135,5/16/2015,47,"4,395,100",200,"12,582,400",70,"4,652,100",41,"2,326,500",30,"2,064,200",36,"2,788,600"
136,5/17/2015,18,"1,199,500",189,"14,126,800",49,"3,730,400",19,"1,021,800",13,"1,258,400",34,"2,262,500"
