,Date,Kangwon_sales,Kangwon_sales_prices,Kyonggi_sales,Kyonggi_sales_prices,Kyongsang_sales,Kyongsang_sales_prices,Seoul_sales,Seoul_sales_prices,Jeonla_sales,Jeonla_sales_prices,Chungcheong_sales,Chuncheong_sales_prices
460,4/5/2016,18,"1,722,500",91,"9,684,300",74,"5,395,500",52,"4,360,900",43,"3,964,500",50,"4,817,700"
461,4/6/2016,22,"2,117,200",106,"9,663,500",55,"4,510,300",179,"6,804,400",18,"1,605,600",35,"2,558,000"
462,4/7/2016,54,"3,734,100",135,"12,444,300",34,"2,150,100",150,"8,201,600",30,"2,666,100",36,"2,515,100"
463,4/8/2016,32,"2,562,700",140,"10,776,500",53,"3,638,800",118,"6,413,000",33,"2,899,500",106,"9,340,800"
464,4/9/2016,30,"2,963,700",134,"10,140,500",52,"4,820,000",72,"5,606,900",21,"1,700,900",31,"2,580,600"
465,4/10/2016,9,"601,400",114,"8,793,700",49,"4,498,800",35,"3,171,200",18,"1,507,700",33,"2,679,300"
466,4/11/2016,19,"1,527,200",150,"11,723,900",25,"1,983,000",26,"2,491,200",21,"2,050,800",37,"3,336,400"
467,4/12/2016,38,"3,216,600",138,"15,053,600",61,"5,391,000",82,"6,882,800",36,"2,699,200",62,"5,219,600"
468,4/13/2016,70,"6,060,700",153,"14,036,000",114,"8,882,900",68,"5,204,900",20,"1,758,100",59,"4,436,200"
469,4/14/2016,55,"4,969,800",105,"10,042,200",66,"4,378,900",74,"5,173,500",39,"3,221,100",32,"2,356,800"
470,4/15/2016,36,"3,267,900",141,"13,132,200",70,"6,082,200",60,"4,706,600",61,"4,546,200",60,"3,769,400"
471,4/16/2016,46,"4,303,500",98,"7,295,300",40,"3,190,000",42,"3,248,700",29,"1,868,600",51,"3,442,200"
472,4/17/2016,0,0,75,"6,561,900",72,"6,517,600",75,"5,705,300",18,"1,471,400",24,"2,055,300"
473,4/18/2016,35,"3,314,500",78,"7,113,800",51,"4,605,500",61,"4,570,800",32,"2,228,100",31,"2,738,900"
474,4/19/2016,23,"1,899,900",149,"11,475,100",49,"4,224,100",39,"2,563,400",64,"2,888,200",33,"2,343,900"
475,4/20/2016,29,"2,440,200",148,"14,514,700",73,"5,448,100",114,"4,515,500",54,"2,623,500",48,"3,664,600"
476,4/21/2016,21,"2,098,500",86,"6,932,800",26,"2,214,100",107,"4,867,400",30,"2,006,800",50,"4,376,400"
477,4/22/2016,18,"1,323,700",140,"12,105,500",50,"4,489,500",110,"5,824,100",38,"2,376,700",32,"3,015,000"
478,4/23/2016,48,"3,559,200",151,"13,659,100",46,"4,405,900",54,"3,548,800",37,"2,185,500",41,"3,664,400"
479,4/24/2016,5,"361,200",85,"6,883,200",33,"2,315,700",50,"4,441,500",53,"2,919,800",26,"1,831,200"
480,4/25/2016,41,"3,736,400",119,"10,837,600",32,"2,548,900",40,"1,921,300",44,"2,366,300",56,"4,007,500"
481,4/26/2016,26,"2,806,300",123,"12,706,300",52,"4,706,100",47,"4,180,300",61,"3,728,400",42,"3,065,900"
482,4/27/2016,43,"4,447,300",201,"15,527,700",92,"7,976,000",55,"3,346,200",22,"1,692,600",27,"2,404,100"
483,4/28/2016,62,"5,082,400",133,"13,268,700",106,"10,535,800",48,"2,853,700",28,"2,552,600",33,"2,393,300"
484,4/29/2016,52,"3,945,000",154,"11,751,000",86,"6,546,500",75,"5,690,900",21,"1,268,900",38,"3,027,900"
485,4/30/2016,32,"2,690,400",143,"11,058,100",85,"7,013,300",160,"6,719,300",73,"4,170,600",43,"2,997,800"
486,5/1/2016,3,"267,800",91,"6,259,000",70,"5,351,600",33,"2,545,100",38,"1,964,200",23,"1,660,300"
487,5/2/2016,24,"2,127,100",72,"5,531,480",56,"3,758,500",106,"4,736,600",26,"2,129,200",22,"1,905,800"
488,5/3/2016,15,"1,151,300",98,"7,015,440",30,"2,309,800",61,"2,343,000",67,"3,508,800",36,"2,891,000"
489,5/4/2016,24,"1,851,900",119,"8,628,200",52,"4,282,500",53,"3,706,600",50,"2,600,200",53,"3,728,500"
490,5/5/2016,12,"869,900",142,"11,523,000",64,"4,794,400",79,"5,289,400",39,"1,947,400",30,"2,296,700"
491,5/6/2016,13,"1,075,500",121,"9,829,400",38,"2,725,200",79,"5,227,270",64,"3,393,900",28,"1,541,000"
492,5/7/2016,67,"5,425,100",115,"8,752,300",114,"6,688,900",54,"3,758,100",59,"3,545,300",25,"1,491,900"
493,5/8/2016,6,"442,400",68,"5,522,700",89,"5,634,200",24,"1,863,200",43,"2,977,100",24,"1,639,900"
494,5/9/2016,57,"4,021,200",95,"7,149,000",94,"4,321,000",69,"6,843,600",52,"3,637,000",37,"3,006,600"
495,5/10/2016,23,"2,129,300",109,"7,045,100",79,"4,254,900",42,"3,284,100",34,"2,579,900",25,"2,153,500"
496,5/11/2016,55,"4,236,900",102,"8,170,800",46,"3,258,900",63,"2,797,200",33,"2,033,600",52,"4,246,200"
497,5/12/2016,36,"2,771,100",148,"10,864,300",44,"2,970,200",64,"3,764,200",38,"2,745,600",22,"1,808,000"
498,5/13/2016,33,"2,805,000",138,"9,764,600",45,"2,700,900",85,"4,776,100",24,"1,812,600",24,"1,400,400"
499,5/14/2016,23,"1,331,900",130,"10,467,600",53,"4,264,700",104,"5,494,500",24,"1,793,800",54,"3,983,300"
500,5/15/2016,5,"474,200",81,"5,759,200",58,"3,252,500",12,"844,300",68,"4,992,000",25,"1,590,500"
501,5/16/2016,30,"2,464,700",78,"6,377,700",26,"1,625,100",44,"2,384,600",20,"1,462,100",41,"3,113,700"
502,5/17/2016,33,"2,497,600",113,"7,547,020",50,"3,117,600",54,"3,826,600",64,"4,254,700",60,"4,362,100"
503,5/18/2016,27,"1,844,500",171,"11,693,320",171,"13,216,000",124,"10,165,200",30,"1,987,000",35,"2,425,700"
504,5/19/2016,46,"3,108,400",149,"9,073,500",41,"2,916,100",87,"5,493,660",36,"2,774,900",39,"2,672,400"
505,5/20/2016,36,"2,312,100",228,"18,024,700",37,"2,482,500",47,"3,367,900",38,"2,439,800",38,"2,633,700"
506,5/21/2016,51,"4,189,100",167,"13,201,900",56,"3,940,700",67,"4,591,800",30,"1,511,900",62,"3,142,700"
507,5/22/2016,0,0,103,"9,446,700",88,"5,810,200",24,"1,512,100",65,"4,477,600",43,"2,461,300"
508,5/23/2016,34,"2,513,500",101,"7,578,800",38,"2,447,600",67,"4,353,600",28,"1,615,300",54,"3,373,410"
509,5/24/2016,50,"3,795,700",102,"8,068,150",46,"3,450,200",48,"3,104,400",36,"2,551,800",35,"2,172,100"
510,5/25/2016,55,"4,724,000",254,"37,694,300",46,"2,925,500",113,"5,311,200",42,"2,636,500",62,"4,127,200"
511,5/26/2016,44,"3,319,700",121,"7,783,700",107,"8,248,800",103,"8,313,300",31,"2,105,500",38,"2,466,423"
512,5/27/2016,45,"3,842,900",134,"10,279,100",51,"4,189,100",80,"4,038,600",44,"2,687,900",141,"11,607,900"
513,5/28/2016,30,"2,142,200",125,"9,339,600",53,"4,336,100",74,"4,658,300",44,"2,744,900",91,"6,433,300"
514,5/29/2016,3,"291,600",106,"7,412,200",78,"5,744,100",45,"3,322,000",24,"1,950,200",39,"2,983,400"
515,5/30/2016,29,"2,017,100",94,"7,557,800",46,"3,191,100",35,"1,978,300",20,"1,457,200",51,"4,243,000"
516,5/31/2016,34,"2,648,600",112,"10,397,200",91,"7,248,700",42,"2,929,800",51,"3,184,800",76,"5,511,500"
517,6/1/2016,24,"2,502,100",93,"6,071,700",85,"6,673,600",15,"887,000",25,"1,324,800",49,"3,890,000"
518,6/2/2016,30,"2,305,900",144,"10,890,900",78,"5,636,000",48,"3,215,200",26,"1,832,300",38,"3,227,300"
519,6/3/2016,24,"1,710,900",115,"7,458,900",56,"3,676,000",37,"2,390,400",42,"2,122,100",70,"5,950,900"
520,6/4/2016,32,"2,592,900",176,"13,685,100",58,"3,898,700",26,"1,541,900",20,"978,500",53,"3,715,200"
521,6/5/2016,0,0,76,"5,433,500",15,"1,125,200",19,"900,000",30,"1,449,100",21,"1,398,900"
522,6/6/2016,19,"1,456,100",129,"10,561,600",42,"2,674,500",41,"3,144,700",30,"1,688,700",26,"2,143,900"
523,6/7/2016,33,"2,934,900",126,"8,601,800",60,"4,659,600",50,"2,963,010",18,"1,224,800",45,"3,502,800"
524,6/8/2016,35,"2,762,100",162,"10,689,200",87,"7,083,300",53,"3,527,200",14,"939,500",33,"2,952,000"
525,6/9/2016,32,"3,304,000",108,"8,086,400",59,"4,412,300",63,"2,532,400",22,"1,612,300",24,"2,059,100"
526,6/10/2016,63,"4,801,000",152,"10,844,900",71,"5,850,700",193,"21,043,900",15,"1,026,500",59,"5,106,400"
527,6/11/2016,20,"1,512,400",164,"13,392,100",67,"4,023,100",88,"6,550,600",29,"1,809,700",28,"2,314,000"
528,6/12/2016,3,"167,300",57,"4,091,900",79,"5,981,900",97,"7,266,800",15,"1,004,600",32,"2,587,900"
529,6/13/2016,37,"3,232,100",88,"5,555,200",43,"2,752,800",63,"5,202,990",18,"1,303,400",38,"3,129,700"
530,6/14/2016,20,"1,266,300",120,"16,891,500",66,"4,402,200",38,"3,090,300",29,"2,204,100",59,"4,135,000"
531,6/15/2016,22,"1,470,900",168,"13,485,100",148,"10,579,500",52,"3,336,000",31,"1,740,400",58,"4,441,500"
532,6/16/2016,52,"4,046,500",170,"12,856,600",69,"4,913,600",79,"6,101,700",23,"1,770,300",59,"4,572,300"
533,6/17/2016,41,"3,221,100",66,"4,388,100",79,"5,896,200",60,"4,832,800",23,"1,590,400",60,"4,931,400"
534,6/18/2016,27,"2,080,100",147,"9,786,000",90,"6,397,600",119,"5,128,000",20,"1,324,300",49,"3,217,700"
535,6/19/2016,0,0,100,"6,814,600",48,"4,040,700",45,"3,125,800",19,"1,263,700",40,"2,863,100"
536,6/20/2016,52,"4,408,300",94,"5,163,200",72,"5,670,500",102,"4,465,100",12,"916,800",46,"3,453,400"
537,6/21/2016,50,"3,842,300",103,"7,395,900",60,"3,839,600",111,"6,766,290",10,"844,300",47,"3,794,700"
538,6/22/2016,38,"3,203,700",172,"12,068,700",124,"7,644,100",113,"6,733,700",17,"1,354,800",34,"2,478,500"
539,6/23/2016,34,"2,690,400",96,"6,817,600",83,"5,729,700",77,"3,902,400",13,"726,100",57,"4,230,200"
540,6/24/2016,32,"2,750,300",92,"7,350,300",73,"4,254,400",105,"5,981,300",26,"1,837,800",25,"1,797,600"
541,6/25/2016,42,"2,969,574",69,"5,593,600",65,"4,314,300",40,"2,321,200",26,"1,891,800",35,"2,191,400"
542,6/26/2016,1,"39,600",55,"4,138,700",42,"3,134,100",39,"3,046,500",13,"818,800",30,"2,242,600"
543,6/27/2016,24,"2,190,600",77,"5,762,600",33,"2,541,600",113,"6,905,400",15,"1,220,600",43,"2,146,600"
544,6/28/2016,21,"1,252,000",70,"5,115,600",48,"3,077,800",34,"2,447,500",27,"1,786,200",53,"3,995,200"
545,6/29/2016,37,"2,481,100",120,"8,816,200",89,"6,713,000",60,"4,200,800",26,"1,471,500",101,"6,643,700"
546,6/30/2016,24,"1,645,100",140,"8,641,100",64,"4,051,800",62,"3,385,300",40,"2,350,600",67,"5,089,600"
547,7/1/2016,25,"1,827,000",124,"8,883,500",85,"6,472,696",74,"4,195,600",18,"991,800",34,"2,371,600"
548,7/2/2016,34,"2,603,900",140,"12,340,700",62,"4,662,300",77,"5,278,800",27,"1,593,800",61,"4,200,500"
549,7/3/2016,9,"762,800",107,"8,007,600",63,"4,100,400",67,"3,738,500",34,"1,838,600",39,"2,609,300"
550,7/4/2016,18,"1,341,800",79,"6,159,200",64,"4,718,000",35,"2,591,600",19,"1,126,600",41,"3,107,200"
551,7/5/2016,8,"547,500",91,"7,196,900",70,"5,515,000",36,"2,168,900",11,"785,200",53,"3,817,000"
552,7/6/2016,39,"2,878,600",124,"9,249,100",60,"4,230,900",59,"4,489,200",13,"706,000",34,"2,797,100"
553,7/7/2016,27,"2,373,200",110,"10,794,900",53,"3,367,300",93,"7,484,300",26,"1,752,800",17,"1,130,100"
554,7/8/2016,23,"1,874,700",94,"8,425,700",85,"6,174,648",70,"6,037,900",33,"2,087,600",54,"4,111,700"
555,7/9/2016,29,"2,380,900",84,"7,732,200",75,"5,362,700",59,"4,390,500",20,"1,497,100",41,"2,580,100"
556,7/10/2016,98,"9,613,700",49,"5,943,500",71,"4,678,000",59,"4,629,500",25,"1,711,800",37,"2,340,500"
557,7/11/2016,46,"9,844,500",79,"5,300,700",53,"3,500,300",56,"3,878,380",6,"437,100",58,"4,156,800"
558,7/12/2016,54,"4,302,100",91,"6,752,228",61,"4,521,200",54,"3,429,200",28,"1,843,000",51,"2,965,800"
559,7/13/2016,49,"3,590,300",114,"7,997,500",74,"5,278,100",59,"5,941,100",23,"1,576,800",55,"3,579,200"
560,7/14/2016,41,"2,873,900",120,"8,236,800",80,"6,315,800",75,"4,643,400",20,"1,040,200",42,"2,820,600"
561,7/15/2016,105,"11,895,000",90,"6,209,400",58,"3,980,300",51,"3,480,000",10,"751,300",50,"3,474,100"
562,7/16/2016,36,"2,937,100",91,"6,214,500",69,"4,641,500",26,"2,589,400",25,"1,731,400",37,"2,466,700"
563,7/17/2016,27,"3,069,300",60,"4,232,300",61,"3,622,500",41,"6,131,300",21,"1,390,600",34,"2,165,300"
564,7/18/2016,41,"2,937,100",127,"8,914,700",86,"4,642,200",46,"3,136,600",57,"2,768,700",37,"2,351,100"
565,7/19/2016,38,"3,433,100",88,"5,547,400",75,"3,913,900",38,"2,824,300",27,"1,815,200",34,"4,299,200"
566,7/20/2016,28,"2,455,800",110,"6,508,700",74,"3,595,100",89,"3,709,900",12,"859,800",50,"9,140,365"
567,7/21/2016,35,"2,567,800",222,"8,004,800",94,"4,964,200",124,"4,833,100",27,"1,871,400",33,"7,054,600"
568,7/22/2016,57,"3,961,500",85,"4,899,700",62,"3,764,500",101,"3,731,400",28,"1,907,200",49,"3,453,300"
569,7/23/2016,39,"3,105,600",123,"6,266,200",109,"6,633,800",81,"4,637,400",23,"1,334,200",37,"2,378,500"
570,7/24/2016,17,"2,141,200",55,"3,777,600",101,"4,333,700",26,"1,574,500",8,"544,100",24,"1,334,200"
571,7/25/2016,27,"3,053,400",105,"8,222,900",65,"3,481,100",116,"6,810,310",25,"1,681,700",49,"3,728,800"
572,7/26/2016,52,"3,473,400",129,"13,437,900",63,"3,038,300",109,"4,251,000",27,"1,831,300",53,"3,550,800"
573,7/27/2016,56,"3,922,800",137,"9,049,900",77,"4,577,800",65,"3,354,600",23,"1,391,500",60,"3,544,200"
574,7/28/2016,38,"3,175,500",82,"5,663,600",52,"3,434,100",82,"4,556,200",18,"1,133,000",58,"3,451,000"
575,7/29/2016,56,"7,266,300",83,"5,696,800",70,"4,612,200",41,"2,776,600",6,"353,700",28,"1,808,300"
576,7/30/2016,32,"2,829,200",145,"9,351,900",60,"3,480,890",67,"4,114,000",10,"714,000",30,"1,659,800"
577,7/31/2016,10,"1,302,400",65,"3,937,200",50,"3,219,500",30,"2,140,700",32,"2,055,000",34,"1,570,600"
578,8/1/2016,15,"1,518,300",92,"6,053,500",62,"3,767,300",64,"3,821,100",6,"446,500",46,"2,711,400"
579,8/2/2016,38,"3,172,100",99,"6,531,884",58,"3,894,000",59,"4,062,000",36,"2,002,100",48,"3,117,700"
580,8/3/2016,31,"2,921,700",94,"6,462,900",71,"4,489,700",51,"3,464,400",9,"541,800",42,"2,826,800"
581,8/4/2016,49,"7,222,100",75,"4,538,000",97,"4,731,200",36,"2,103,400",21,"1,043,500",21,"1,366,300"
582,8/5/2016,39,"2,999,500",59,"4,442,000",64,"8,195,900",43,"3,352,000",0,0,33,"2,168,500"
583,8/6/2016,29,"2,529,400",69,"4,601,800",37,"6,314,500",57,"2,950,500",22,"1,151,100",39,"2,546,300"
584,8/7/2016,5,"449,300",77,"5,622,900",44,"3,814,700",33,"2,374,600",18,"1,006,600",47,"2,973,500"
585,8/8/2016,36,"2,968,100",79,"5,343,800",81,"5,915,700",38,"2,546,800",12,"835,200",49,"3,306,400"
586,8/9/2016,51,"3,643,900",144,"10,329,240",82,"5,298,200",45,"3,085,000",62,"3,073,300",36,"2,495,100"
587,8/10/2016,48,"7,336,200",75,"6,475,700",61,"4,707,400",174,"6,844,480",29,"1,365,900",43,"2,612,400"
588,8/11/2016,35,"2,797,000",103,"8,020,000",56,"5,255,600",59,"4,082,500",39,"1,601,600",32,"1,839,000"
589,8/12/2016,25,"1,675,800",131,"8,848,690",42,"4,121,600",83,"5,098,100",36,"1,885,000",44,"2,885,600"
590,8/13/2016,20,"1,314,500",91,"6,012,700",55,"5,927,100",67,"4,885,300",16,"1,057,500",28,"2,224,900"
591,8/14/2016,13,"1,088,600",56,"4,146,300",72,"5,311,200",24,"1,382,300",33,"1,630,700",26,"1,698,200"
592,8/15/2016,21,"1,759,200",77,"8,542,600",58,"5,850,400",41,"2,056,500",32,"1,706,700",27,"1,562,700"
593,8/16/2016,20,"1,973,400",67,"4,092,170",44,"7,392,500",35,"2,306,800",22,"1,367,300",40,"3,039,200"
594,8/17/2016,41,"3,233,100",114,"8,195,440",94,"9,047,600",62,"4,343,400",20,"1,407,200",34,"2,028,700"
595,8/18/2016,42,"3,475,100",172,"15,746,320",47,"3,210,760",56,"3,902,380",12,"902,000",32,"2,464,200"
596,8/19/2016,35,"2,684,100",118,"7,921,300",52,"3,237,070",43,"2,905,700",8,"535,800",40,"3,023,200"
597,8/20/2016,27,"2,191,900",137,"8,298,900",51,"3,711,190",40,"2,497,200",28,"1,838,200",46,"2,947,100"
598,8/21/2016,25,"2,566,600",103,"8,031,900",55,"4,047,430",20,"1,591,800",13,"952,400",22,"1,486,300"
599,8/22/2016,30,"2,490,500",80,"7,053,400",104,"6,454,290",29,"2,531,500",20,"1,734,100",51,"3,989,000"
600,8/23/2016,35,"3,253,100",180,"16,514,000",53,"3,206,420",38,"3,345,100",44,"2,412,100",30,"2,271,000"
601,8/24/2016,49,"6,326,239",121,"8,628,635",131,"11,743,300",15,"1,174,900",15,"1,027,300",31,"2,857,600"
602,8/25/2016,27,"2,289,600",127,"8,417,200",95,"5,790,760",44,"3,567,700",14,"895,800",20,"1,204,500"
603,8/26/2016,18,"1,493,900",122,"9,025,900",114,"10,704,320",65,"5,452,100",24,"1,736,900",41,"2,992,400"
604,8/27/2016,37,"3,757,700",162,"12,094,820",81,"5,659,860",56,"5,096,800",11,"902,400",58,"4,248,900"
605,8/28/2016,5,"317,300",84,"6,462,600",36,"2,504,970",31,"2,504,100",8,"868,000",17,"1,152,400"
606,8/29/2016,18,"1,243,900",87,"6,067,520",43,"2,893,800",41,"3,660,100",28,"1,619,100",20,"1,384,000"
607,8/30/2016,22,"1,825,100",82,"7,049,700",43,"3,600,660",56,"4,533,110",32,"1,720,800",32,"2,468,800"
608,8/31/2016,27,"2,153,800",199,"14,832,120",59,"5,426,990",45,"3,680,500",45,"3,146,300",70,"5,540,700"
609,9/1/2016,35,"3,515,500",113,"9,319,440",43,"3,968,300",31,"4,806,400",22,"1,247,400",59,"8,715,500"
610,9/2/2016,39,"3,206,500",128,"7,496,000",41,"2,976,800",20,"2,273,100",19,"1,323,500",52,"4,542,900"
611,9/3/2016,45,"4,213,716",103,"10,396,900",31,"1,990,800",66,"8,060,100",11,"917,900",41,"5,479,500"
612,9/4/2016,25,"2,462,600",100,"9,755,400",64,"5,392,800",15,"1,353,300",13,"1,107,900",51,"3,651,000"
613,9/5/2016,28,"2,646,300",85,"10,859,100",33,"2,916,200",49,"5,490,900",5,"526,800",38,"2,974,200"
614,9/6/2016,36,"3,876,698",95,"8,006,220",62,"4,803,400",75,"4,126,049",30,"1,647,300",53,"4,387,000"
615,9/7/2016,12,"777,300",101,"11,301,500",76,"5,345,300",41,"4,078,900",24,"1,430,600",50,"4,261,300"
616,9/8/2016,81,"6,752,480",77,"11,187,530",50,"3,685,700",38,"3,822,800",22,"1,150,700",40,"3,695,800"
617,9/9/2016,58,"6,131,500",89,"8,696,640",46,"2,974,320",47,"4,000,400",19,"1,397,300",56,"4,334,900"
618,9/10/2016,46,"3,770,100",107,"9,579,150",59,"4,198,300",57,"4,415,500",24,"1,520,500",61,"4,962,200"
619,9/11/2016,8,"507,500",228,"18,787,940",51,"3,990,500",28,"2,532,200",30,"1,559,600",24,"4,923,800"
620,9/12/2016,42,"4,069,000",73,"7,618,910",42,"3,411,400",35,"2,426,600",7,"323,100",26,"2,153,400"
621,9/13/2016,43,"4,628,500",74,"5,711,090",55,"4,508,100",16,"1,184,300",27,"1,787,800",28,"5,780,300"
622,9/14/2016,30,"5,504,400",83,"7,919,870",34,"4,595,200",16,"836,200",2,"70,600",15,"1,300,200"
623,9/15/2016,0,0,5,"695,100",15,"1,377,100",1,"59,000",3,"218,700",2,"158,600"
624,9/16/2016,2,"109,800",86,"6,819,100",23,"2,210,300",20,"1,649,800",0,0,18,"1,405,500"
625,9/17/2016,49,"5,891,000",97,"9,170,500",45,"3,062,700",66,"3,432,600",13,"734,700",40,"3,665,400"
626,9/18/2016,6,"421,500",70,"4,849,900",61,"4,094,800",25,"2,298,800",23,"1,755,000",35,"3,558,200"
627,9/19/2016,77,"7,499,900",101,"8,043,400",61,"5,247,700",102,"4,277,100",19,"1,186,800",55,"5,379,100"
628,9/20/2016,77,"7,272,200",95,"10,712,800",63,"5,349,100",44,"4,376,100",25,"1,827,600",42,"3,927,200"
629,9/21/2016,51,"8,066,500",122,"9,961,100",102,"14,475,200",51,"4,425,000",17,"1,407,500",51,"4,234,100"
630,9/22/2016,51,"4,874,500",123,"11,152,450",72,"5,054,900",96,"6,923,400",16,"1,155,300",77,"7,185,600"
631,9/23/2016,63,"7,497,600",135,"10,268,870",51,"3,770,200",46,"5,324,800",33,"1,963,200",90,"7,934,950"
632,9/24/2016,68,"9,534,900",188,"13,417,940",81,"6,481,800",58,"4,222,000",17,"1,334,600",68,"8,499,300"
633,9/25/2016,30,"3,210,000",112,"10,367,060",67,"6,860,600",18,"1,552,000",17,"1,557,400",43,"4,267,600"
634,9/26/2016,35,"3,415,228",126,"11,183,201",45,"6,581,400",53,"4,839,500",9,"827,400",82,"8,866,300"
635,9/27/2016,27,"2,281,200",89,"8,175,200",51,"3,946,121",38,"6,399,700",23,"1,714,100",84,"7,681,000"
636,9/28/2016,36,"3,433,800",99,"9,990,100",32,"3,184,300",48,"4,919,300",16,"1,149,700",74,"6,044,100"
637,9/29/2016,43,"4,214,400",134,"16,261,110",94,"7,806,600",40,"3,778,250",23,"2,033,500",67,"5,017,400"
638,9/30/2016,41,"8,013,600",134,"13,383,900",50,"4,613,300",43,"4,153,600",38,"3,175,100",59,"7,976,120"
639,10/1/2016,28,"2,499,000",202,"18,173,800",71,"6,673,000",46,"4,585,200",21,"1,726,900",74,"6,952,980"
640,10/2/2016,13,"1,145,800",69,"8,520,400",51,"4,850,300",15,"1,420,700",11,"987,500",38,"3,846,700"
641,10/3/2016,27,"4,147,100",108,"9,220,520",48,"5,948,112",38,"3,019,100",24,"1,948,300",63,"7,968,670"
642,10/4/2016,31,"2,872,800",94,"11,576,000",47,"4,135,900",72,"5,525,380",19,"1,572,100",78,"7,377,510"
643,10/5/2016,42,"3,748,300",141,"13,280,860",23,"2,572,520",70,"5,872,600",13,"721,100",68,"7,839,370"
644,10/6/2016,57,"8,338,420",104,"9,004,500",57,"4,928,800",67,"6,519,800",9,"667,100",50,"4,603,000"
645,10/7/2016,35,"4,623,900",92,"10,607,920",66,"5,801,700",50,"3,620,000",22,"2,077,100",44,"5,530,600"
646,10/8/2016,72,"7,271,800",147,"14,272,480",95,"8,241,020",81,"6,347,740",22,"1,448,800",57,"6,414,120"
647,10/9/2016,19,"3,667,900",124,"13,636,840",68,"7,973,100",29,"3,468,020",16,"1,545,800",56,"4,747,900"
648,10/10/2016,57,"5,057,700",98,"10,374,800",47,"3,359,000",50,"5,532,400",8,"733,400",54,"3,852,220"
649,10/11/2016,58,"6,219,843",93,"10,307,680",55,"4,696,300",54,"6,667,440",31,"2,156,900",64,"5,257,440"
650,10/12/2016,46,"5,403,600",203,"21,892,650",200,"26,483,220",47,"4,440,500",21,"2,072,800",76,"6,644,000"
651,10/13/2016,39,"5,455,000",104,"12,955,220",57,"4,860,220",36,"4,540,762",57,"3,841,300",111,"9,088,500"
652,10/14/2016,43,"3,783,200",189,"22,756,220",75,"6,796,300",66,"6,320,400",27,"1,931,800",77,"6,994,050"
653,10/15/2016,28,"2,781,000",148,"15,226,503",64,"6,560,100",60,"6,455,620",37,"3,260,100",64,"5,352,520"
654,10/16/2016,14,"1,644,900",82,"8,581,700",80,"8,476,800",26,"2,760,300",20,"1,609,300",71,"9,107,920"
655,10/17/2016,36,"3,390,700",94,"10,334,260",72,"7,505,020",43,"5,124,920",16,"1,459,200",76,"9,529,250"
656,10/18/2016,56,"5,867,300",77,"11,733,110",81,"7,788,100",36,"4,793,500",35,"2,821,400",65,"8,624,160"
657,10/19/2016,63,"6,283,900",144,"14,903,280",61,"4,564,600",37,"3,609,300",31,"2,357,000",48,"5,849,640"
658,10/20/2016,49,"7,074,300",104,"11,441,072",75,"8,507,070",54,"4,507,800",20,"1,273,700",32,"2,404,200"
659,10/21/2016,52,"6,881,700",90,"11,030,100",57,"6,021,040",79,"7,216,100",28,"1,884,500",88,"10,800,100"
660,10/22/2016,51,"8,136,740",137,"13,202,920",53,"5,636,800",26,"3,392,800",16,"1,257,500",64,"6,305,400"
661,10/23/2016,18,"2,232,400",60,"7,456,872",58,"4,567,400",24,"2,902,400",29,"3,575,720",22,"2,304,400"
662,10/24/2016,44,"3,798,340",121,"11,919,760",56,"5,504,700",54,"6,533,820",9,"1,197,200",35,"3,480,300"
663,10/25/2016,53,"6,159,300",135,"13,411,474",67,"5,489,700",39,"4,071,500",23,"2,522,620",43,"4,136,400"
664,10/26/2016,66,"6,785,500",121,"18,984,220",55,"4,254,400",57,"5,564,720",22,"2,242,560",40,"4,579,600"
665,10/27/2016,58,"6,952,600",92,"13,417,180",58,"5,196,600",42,"4,528,600",16,"1,222,300",60,"6,103,700"
666,10/28/2016,92,"9,325,940",107,"10,340,970",54,"5,414,000",34,"3,150,500",26,"1,728,200",63,"6,052,120"
667,10/29/2016,48,"5,032,600",96,"13,078,700",75,"7,122,540",29,"5,595,000",27,"1,504,700",64,"6,342,160"
668,10/30/2016,28,"3,635,300",62,"9,787,100",65,"6,548,400",21,"3,789,800",17,"1,264,100",53,"5,663,200"
669,10/31/2016,40,"9,401,960",92,"16,934,730",41,"4,475,920",45,"8,384,400",20,"3,507,500",44,"4,814,700"
670,11/1/2016,43,"7,151,840",88,"12,176,360",73,"7,775,400",32,"2,737,120",23,"2,383,200",72,"8,092,100"
671,11/2/2016,26,"2,639,900",94,"11,626,100",97,"13,702,900",35,"4,724,700",15,"1,924,100",58,"7,092,200"
672,11/3/2016,37,"5,231,200",82,"14,977,230",55,"4,357,600",33,"3,740,240",16,"1,454,600",24,"2,096,400"
673,11/4/2016,36,"5,390,500",89,"11,740,900",31,"3,744,400",38,"4,962,100",27,"2,560,300",42,"4,231,520"
674,11/5/2016,20,"2,557,220",68,"6,094,560",38,"3,706,920",24,"3,311,800",2,"178,800",37,"4,552,200"
675,11/6/2016,42,"6,138,040",87,"11,768,570",56,"6,691,530",28,"3,219,400",25,"2,279,900",38,"4,251,240"
676,11/7/2016,56,"6,089,640",73,"9,616,920",58,"6,429,860",27,"3,471,300",25,"1,862,600",51,"4,839,369"
677,11/8/2016,30,"3,792,500",55,"12,271,632",52,"5,655,060",30,"5,041,800",30,"2,030,200",56,"5,596,200"
678,11/9/2016,93,"11,162,000",75,"13,296,580",35,"3,476,820",55,"7,395,020",15,"1,931,800",25,"3,163,760"
